Are you worried about tomorrow night?	Not really.
<EOC>	<EOC>
Conor, you and I, we cannot be killed.	What?
<EOC>	<EOC>
When did you last sleep, boy?	I'm all right.
<EOC>	<EOC>
Life is true.	Life is real.
<EOC>	<EOC>
What happened?	Somebody pulled my tail.
Oh, you did it yourself!	I -- Oh --
Here --   Come on.	What was that?
<EOC>	<EOC>
Ergo?	What about your father?
<EOC>	<EOC>
Coffin?	Mr. Lime's.  Accident...
<EOC>	<EOC>
Run!	MACLEOD!
<EOC>	<EOC>
What's she singing about?	What do you think?
<EOC>	<EOC>
This one.	The vodka.  What'd I tell you?
<EOC>	<EOC>
Do you have music up there?	Yes.
I'd like to hear it. Can you sing something?	I do not want to.
<EOC>	<EOC>
Take 'er on down, Al. I'll sign.	We gonna stay, ain't we?
<EOC>	<EOC>
No, thank you.	I'd like some tea, please.
<EOC>	<EOC>
Yeah.	And then, uh, April...huh?
<EOC>	<EOC>
What is it, Mary?	That man -- who is he?
<EOC>	<EOC>
Hey, Lou.	Welcome to work, Ed.
<EOC>	<EOC>
I am not crazy, Tyrell. He was right there.	Fine. Show me the body.
<EOC>	<EOC>
It matches the pictures.	It certainly does.
<EOC>	<EOC>
You've grown, big program.	I had to...in the games...
<EOC>	<EOC>
What about you, Jimbo, you need a ride?	What?
A ride.  You want one?	Yeah.  But I got my bike.
<EOC>	<EOC>
Jes' like in the catalogues, ain't they!	I seen 'em b'fore you did.
What's this?	Now don't you go monk'ing--
<EOC>	<EOC>
No!	No!
<EOC>	<EOC>
What's he doing here?	Says he is the man's doctor...  You know...
<EOC>	<EOC>
Good heavens, man! You're not suggesting that I	Why not?
Why, I couldn't do that . . . !	You don't have to do nothing.
<EOC>	<EOC>
Your government needs your help.	What?
<EOC>	<EOC>
Do you know that house?	Sir Robert De Lesseps.
<EOC>	<EOC>
You okay?	Yeah, just a nick ...
<EOC>	<EOC>
You are cold.	You're damn right I am.
<EOC>	<EOC>
Wyatt, I... I ain't got the words.	I know.  Me neither.
<EOC>	<EOC>
Are you looking for something in particular?	Yes.  Something... conservative.
<EOC>	<EOC>
I have'na been able ta --	Crank her!
<EOC>	<EOC>
My mother would die.	Let's shut up and not kill her.
<EOC>	<EOC>
Walter.	It was my mother's.
<EOC>	<EOC>
... It could have gotten to somebody...	Anybody sick?
<EOC>	<EOC>
I'm sorry, I don't know who you mean.	He got off on six.
<EOC>	<EOC>
I don't get it.	It doesn't make any sense.
<EOC>	<EOC>
How came you by this blade?	I slew the Lindfarne Worm with it.
<EOC>	<EOC>
Are you supposed to be in Iowa?	Yeah.
<EOC>	<EOC>
Here's your ticket, ma'am.	Oh, thank you. Thank you very much.  Here.
Oh, thank you. Thank you.	When does the bus leave?
In about fifteen minutes.	Thank you.
<EOC>	<EOC>
John Crawford?	Yes, sir.
<EOC>	<EOC>
Ask him his name.	Who are you?
<EOC>	<EOC>
"Say the words, ""I understand."""	I understand.
<EOC>	<EOC>
She's right. They'll string her up.	Do you want to come to Argo City?
<EOC>	<EOC>
Why didn't you drop any sail?	Skipper called us out of the rigging.
But your instinct was to lose sail?	My instinct was to not get electrocuted.
How old are you, son?	Fifteen.
<EOC>	<EOC>
Madam...?	Thank you.
<EOC>	<EOC>
Let's continue.	"You had one guy ""like that?"""
<EOC>	<EOC>
SING!	Were you tempted?
<EOC>	<EOC>
Your grades for fall semester. They're -- good.	You came here to give me my report card?
<EOC>	<EOC>
Audrey? Oh, Audrey....	<u>What</u>?
<EOC>	<EOC>
What...is...it?	Where are you going?
I've gotta...I've gotta...return some videotapes.	Patrick?
<EOC>	<EOC>
Why did you let him in?	What was I supposed to do?
<EOC>	<EOC>
She's hotter'n a heifer.	Fan-belt's shot.
<EOC>	<EOC>
To a lot of psychiatric small talk --	And we can watch ...
<EOC>	<EOC>
He was trying to tell me something.	"And his message was  ""Together, no matter what?"""
<EOC>	<EOC>
Gee.	Is there no chance?
<EOC>	<EOC>
Oveur.	Dunn.
<EOC>	<EOC>
That's where he'll be.	What?
<EOC>	<EOC>
It smells damp.	It's just been empty a while.
<EOC>	<EOC>
It's gone now.	Oh, Jesse...
<EOC>	<EOC>
Let me get that for you.	Oh please. I can't have you do that.
<EOC>	<EOC>
I don't want to get in trouble.	Don't worry it's okay!
<EOC>	<EOC>
What is it - What's wrong?	Whoa!
What is it?	I don't know - a sharp pain.
<EOC>	<EOC>
You know, I've been having these really weird..	Dreams?
<EOC>	<EOC>
Annabelle Daniels.	Annabelle Daniels.  714-454-9346.
<EOC>	<EOC>
It's not erasing. He's off the screen.	Where?
<EOC>	<EOC>
I trust it's your size.	It's---beautiful.
